id,promo_id,code,created_dt,expiration_dt,activated_dt
6721,60932,18d17bc7,2023-03-09 06:15:10,2023-04-30 23:59:59,
6722,60932,ee89433d,2023-03-09 06:15:10,2023-04-30 23:59:59,
6723,60932,16b00bf7,2023-03-09 06:15:10,2023-04-30 23:59:59,
6724,60932,69162fa6,2023-03-09 06:15:10,2023-04-30 23:59:59,
6725,60932,6cb5f128,2023-03-09 06:15:10,2023-04-30 23:59:59,
6726,60932,854cfe12,2023-03-09 06:15:10,2023-04-30 23:59:59,
6727,60932,e42e9d68,2023-03-09 06:15:10,2023-04-30 23:59:59,2023-03-29 11:39:41
6728,60932,5c260f0e,2023-03-09 06:15:10,2023-04-30 23:59:59,
6729,60932,28e7e289,2023-03-09 06:15:10,2023-04-30 23:59:59,
6730,60932,0e84e1b5,2023-03-09 06:15:10,2023-04-30 23:59:59,
6731,60932,688e2d65,2023-03-09 06:15:10,2023-04-30 23:59:59,
6732,60932,402caa59,2023-03-09 06:15:10,2023-04-30 23:59:59,2023-03-29 10:57:06
6733,60932,0f227d87,2023-03-09 06:15:10,2023-04-30 23:59:59,2023-03-28 23:54:01
6734,60932,c4243c2d,2023-03-09 06:15:10,2023-04-30 23:59:59,
6735,60932,d5f1b9ae,2023-03-09 06:15:10,2023-04-30 23:59:59,
6736,60932,34ee906f,2023-03-09 06:15:10,2023-04-30 23:59:59,2023-03-26 23:26:11
6737,60932,ec4dbf3b,2023-03-09 06:15:10,2023-04-30 23:59:59,
6738,60932,7db003a2,2023-03-09 06:15:10,2023-04-30 23:59:59,2023-04-09 07:00:51
6739,60932,35b3b329,2023-03-09 06:15:10,2023-04-30 23:59:59,
6740,60932,21943e5c,2023-03-09 06:15:10,2023-04-30 23:59:59,
6741,60932,10cabf27,2023-03-09 06:15:10,2023-04-30 23:59:59,
6742,60932,153f5a8c,2023-03-09 06:15:10,2023-04-30 23:59:59,
6743,60932,86276977,2023-03-09 06:15:10,2023-04-30 23:59:59,2023-04-10 11:36:21
6744,60932,293606f9,2023-03-09 06:15:10,2023-04-30 23:59:59,2023-04-08 11:02:26
6745,60932,3786e115,2023-03-09 06:15:10,2023-04-30 23:59:59,2023-03-25 08:48:26
6746,60932,7e2424d7,2023-03-09 06:15:10,2023-04-30 23:59:59,
6747,60932,9bf6d025,2023-03-09 06:15:10,2023-04-30 23:59:59,
6748,60932,64f003e3,2023-03-09 06:15:10,2023-04-30 23:59:59,
6749,60932,9a6b068e,2023-03-09 06:15:10,2023-04-30 23:59:59,
6750,60932,c1592511,2023-03-09 06:15:10,2023-04-30 23:59:59,2023-03-29 06:41:36
6751,60932,26b2c95e,2023-03-09 06:15:10,2023-04-30 23:59:59,
6752,60932,2f8a3d52,2023-03-09 06:15:10,2023-04-30 23:59:59,
6753,60932,96c91c2d,2023-03-09 06:15:10,2023-04-30 23:59:59,2023-03-23 21:25:21
6754,60932,ed577968,2023-03-09 06:15:10,2023-04-30 23:59:59,
6755,60932,9d86a27b,2023-03-09 06:15:10,2023-04-30 23:59:59,2023-03-19 05:35:26
6756,60932,8ee45957,2023-03-09 06:15:10,2023-04-30 23:59:59,2023-04-05 14:48:21
6757,60932,1a94861a,2023-03-09 06:15:10,2023-04-30 23:59:59,
6758,60932,f472d01c,2023-03-09 06:15:10,2023-04-30 23:59:59,2023-03-16 06:55:21
6759,60932,08a79ed9,2023-03-09 06:15:10,2023-04-30 23:59:59,
6760,60932,1f985213,2023-03-09 06:15:10,2023-04-30 23:59:59,
6761,60932,7a7c5647,2023-03-09 06:15:10,2023-04-30 23:59:59,2023-03-19 06:54:31
6762,60932,b98aee71,2023-03-09 06:15:10,2023-04-30 23:59:59,
6763,60932,9dae965e,2023-03-09 06:15:10,2023-04-30 23:59:59,
6764,60932,b6127d73,2023-03-09 06:15:10,2023-04-30 23:59:59,
6765,60932,e4618737,2023-03-09 06:15:10,2023-04-30 23:59:59,
6766,60932,c12bd986,2023-03-09 06:15:10,2023-04-30 23:59:59,
6767,60932,5e55e66a,2023-03-09 06:15:10,2023-04-30 23:59:59,
6768,60932,bf5fbe57,2023-03-09 06:15:10,2023-04-30 23:59:59,
6769,60932,3c87e0f8,2023-03-09 06:15:10,2023-04-30 23:59:59,2023-03-29 23:01:01
6770,60932,bd2de320,2023-03-09 06:15:10,2023-04-30 23:59:59,
6771,60932,11aa5f74,2023-03-09 06:15:10,2023-04-30 23:59:59,2023-03-20 19:48:51
6772,60932,e12370f8,2023-03-09 06:15:10,2023-04-30 23:59:59,
6773,60932,accb4e10,2023-03-09 06:15:10,2023-04-30 23:59:59,
6774,60932,22b02e48,2023-03-09 06:15:10,2023-04-30 23:59:59,
6775,60932,20b5e0bd,2023-03-09 06:15:10,2023-04-30 23:59:59,2023-04-05 16:07:26
6776,60932,7c8000dd,2023-03-09 06:15:10,2023-04-30 23:59:59,
6777,60932,9dad304a,2023-03-09 06:15:10,2023-04-30 23:59:59,
6778,60932,f18ec2b0,2023-03-09 06:15:10,2023-04-30 23:59:59,
6779,60932,03759b40,2023-03-09 06:15:10,2023-04-30 23:59:59,2023-03-28 14:46:31
6780,60932,238c53d3,2023-03-09 06:15:10,2023-04-30 23:59:59,
6781,60932,aacd81dc,2023-03-09 06:15:10,2023-04-30 23:59:59,
6782,60932,87c31d85,2023-03-09 06:15:10,2023-04-30 23:59:59,
6783,60932,1bf9340c,2023-03-09 06:15:10,2023-04-30 23:59:59,
6784,60932,d691cb82,2023-03-09 06:15:10,2023-04-30 23:59:59,
6785,60932,14924f3a,2023-03-09 06:15:10,2023-04-30 23:59:59,
